question,ground_truth,penyakit
"Apa penyebab penyakit endokarditis?","Endokarditis terjadi ketika kuman masuk ke aliran darah dan bergerak menuju jantung. Kuman tersebut lalu menempel di katup jantung yang mengalami gangguan atau di jaringan jantung yang rusak. Selanjutnya, kuman tersebut akan berkembang biak di lapisan dalam jantung (endokardium).\n\nKuman penyebab endokarditis dapat masuk ke aliran darah melalui:\n\nGigi yang berlubang atau infeksi pada rongga mulut, sehingga kuman dapat masuk dengan mudah ke aliran darah\nBagian tubuh lain yang terinfeksi, misalnya infeksi di kulit, infeksi menular seksual, atau infeksi di saluran pencernaan\nKateter urine atau jarum infus, terutama yang telah dipasang dalam jangka waktu lama, misalnya pada pasien stroke atau cuci darah\nJarum suntik yang terkontaminasi kuman, baik pada penggunaan NAPZA suntik, pembuatan tato, maupun pemasangan tindik","Endokarditis"
"Apa saja faktor yang meningkatkan risiko penyakit endokarditis?","Endokarditis dapat dialami oleh siapa saja. Namun, ada beberapa faktor yang dapat meningkatkan risiko seseorang menderita kondisi ini, yaitu:\n\nBerusia lebih dari 60 tahun\nMenggunakan katup jantung buatan\nMenderita kerusakan di katup jantung\nMemiliki penyakit jantung bawaan\nMenggunakan alat bantu di jantung, seperti alat pacu jantung\nPernah menderita endokarditis sebelumnya\nPernah menggunakan NAPZA bentuk suntik\nMemiliki daya tahan tubuh lemah\nMemakai kateter dalam jangka panjang\nMemiliki kesehatan gigi dan mulut yang buruk","Endokarditis"
"Apa kelainan yang dialami oleh seseorang dengan penyakit Patent Foramen Ovale?","Patent foramen ovale adalah penyakit jantung bawaan ketika lubang yang terletak di antara serambi kanan dan serambi kiri jantung tidak menutup secara sempurna setelah bayi lahir. Pada patent foramen ovale (PFO) darah kaya oksigen bercampur dengan darah minim oksigen.","Patent Foramen Ovale"
"Apa gejala pada seseorang yang menderita penyakit Patent Foramen Ovale?","Patent foramen ovale cukup sering terjadi, yaitu pada 1 dari 4 bayi. Kondisi ini sering kali tidak menimbulkan gejala sehingga tidak disadari oleh penderitanya. Sebagian besar pasien baru menyadari dirinya menderita PFO ketika melakukan pemeriksaan untuk penyakit lain.\n\nKeluhan yang dapat timbul pada penderita PFO antara lain:\n\nLemah atau mati rasa di lengan atau kaki\nMigrain atau sakit kepala\nNyeri dada\nPenggumpalan darah\nLinglung\nHilang keseimbangan","Patent Foramen Ovale"
"Apa penyebab dari penyakit sindrom eisenmenger?","Pada penderita sindrom Eisenmenger, terdapat lubang di jantung, tepatnya di antara ruang jantung. Kondisi ini menyebabkan darah dari ruang kiri jantung mengalir ke ruang kanan jantung dan tekanan darah paru-paru meningkat (hipertensi pulmonal).\n\nSindrom Eisenmenger atau Eisenmenger syndrome terjadi akibat kelainan jantung bawaan, seperti:\n\nAtrioventricular canal defect, yaitu lubang besar di tengah yang menyebabkan semua ruang jantung menyatu\nVentricular septal defect, yaitu lubang di septum ventrikel\nAtrial septal defect, yaitu lubang pada septum atrium\nPatent ductus arteriosus","Sindrom Eisenmenger"
"Apa gejala yang muncul pada bayi yang mengalami sindrom eisenmenger?","Pada bayi baru lahir, tanda yang dapat terlihat adalah napas yang cepat, mudah lelah saat menyusu, kulit membiru ketika menangis, dan berat badan sulit naik.","Sindrom Eisenmenger"
"Apa yang membedakan henti jantung mendadak dengan serangan jantung?","Henti jantung mendadak berbeda dengan serangan jantung. Serangan jantung terjadi karena penyumbatan pembuluh darah. Sementara henti jantung mendadak disebabkan oleh ventrikel fibrilasi. Namun, ventrikel fibrilasi juga dapat disebabkan oleh serangan jantung.\n\nVentrikel fibrilasi merupakan salah satu jenis gangguan irama jantung (aritmia). Kondisi ini ditandai dengan ventrikel (bilik) jantung yang hanya bergetar, bukan berdenyut untuk memompa darah. Akibatnya, pasokan darah yang membawa oksigen dan nutrisi ke organ-organ tubuh akan terhenti.","Henti Jantung Mendadak"
"Bagaimana penanganan darurat terhadap seseorang yang mengalami henti jantung mendadak?","Segera periksa denyut jantungnya dan hubungi ambulans atau rumah sakit terdekat.\n\nSambil menunggu datangnya pertolongan medis, lakukan juga penanganan darurat berupa CPR. Gunakan juga alat automated external defibrillator (AED) bila tersedia.","Henti Jantung Mendadak"
"Apa saja komplikasi yang dapat dialami oleh orang yang mengalami henti jantung mendadak?","Komplikasi henti jantung mendadak adalah kerusakan otak permanen, hipoksia, hingga kematian. Pada beberapa kasus, penderita henti jantung mendadak masih bisa ditangani dan akhirnya sembuh.\n\nMeski demikian, penderita henti jantung mendadak yang sembuh umumnya juga mengalami sejumlah komplikasi berupa:\n\nKerusakan saraf\nGangguan gerakan\nKesulitan berbicara\nSulit konsentrasi\nPost-traumatic stress disorder (PTSD)","Henti Jantung Mendadak"
"Apa penyebab seseorang menderita penyakit perikarditis?","Sebagian besar kasus perikarditis tidak diketahui penyebabnya, tetapi ada beberapa hal yang diduga dapat menjadi penyebab perikarditis, yaitu:\n\nInfeksi bakteri\nInfeksi virus, seperti COVID-19, rubella, dan influenza\nKanker dari organ lain yang menyebar ke perikardium\nSerangan jantung\nCedera pada dada\nKomplikasi akibat operasi jantung\nPenyakit peradangan, seperti lupus dan rheumatoid arthritis\nPaparan radiasi dalam radioterapi, khususnya pada terapi kanker payudara dan kanker paru","Perikarditis"
"Bagaimana pengobatan terhadap seseorang yang mengalami perikarditis yang tergolong parah?","Penderita perikarditis yang tergolong parah dan mengalami komplikasi perlu dirawat di rumah sakit. Beberapa tindakan yang dapat dilakukan dokter untuk mengatasi kondisi ini adalah:\n\nPericardiocentesis\nPericardiocentesis dilakukan untuk mengeluarkan timbunan cairan dari ruang perikardium. Pada prosedur ini, dokter akan menyedot cairan menggunakan jarum dan selang kecil.\nPericardiectomy\nOperasi ini perlu dilakukan bila perikardium mengalami Pericardiectomy bertujuan untuk mengambil bagian yang kaku tersebut sehingga pompa jantung dapat kembali normal.","Perikarditis"
"Apa gejala penyakit ventrikel takikardi?","Ada beberapa gejala yang menandakan ventrikel takikardi, antara lain:\n\nJantung berdebar yang membuat penderitanya merasa tidak nyaman\nSesak napas\nNyeri atau rasa tertekan di dada\nPening atau terasa melayang\nPenurunan kesadaran\n\nVentrikel takikardi perlu diwaspadai karena dapat berkembang menjadi ventrikel fibrilasi, yaitu suatu kondisi yang berbahaya dan bisa menyebabkan kematian.","Ventrikel Takikardi"
"Bagaimana penanganan terhadap seseorang yang mengalami penyakit ventrikel takikardi?","Segera cari pertolongan medis atau minta bantuan orang sekitar, serta lakukan CPR kepada orang tersebut jika Anda mampu.\n\nBila tersedia alat kejut jantung otomatis atau Automatic External Defibrillator (AED), gunakan alat tersebut untuk mengetahui irama jantung penderita. Setelah itu, ikuti petunjuk dari alat AED. Lakukan hal tersebut hingga bantuan medis datang.","Ventrikel Takikardi"
"Apa faktor yang dapat meningkatkan risiko terkena penyakit Ventricular Septal Defect?","Ada beberapa faktor yang dapat meningkatkan risiko seseorang terkena VSD, antara lain:\n\nMemiliki keluarga dengan riwayat penyakit jantung bawaan\nMenderita kelainan genetik, seperti Down Syndrome","Ventricular Septal Defect"
"Apa gejala yang umum terjadi pada anak atau bayi penderita Ventricular Septal Defect?","Secara umum, gejala VSD pada bayi dan anak-anak meliputi:\n\nMudah lelah ketika sedang makan atau bermain\nBanyak mengeluarkan keringat, terutama ketika makan\nTidak nafsu makan\nBerat badan sulit naik\nNapas cepat dan terdengat berat\nKulit terlihat pucat","Ventricular Septal Defect"
"Apa penyebab penyakit sindrom brugada?","Sindrom Brugada terjadi akibat perubahan atau mutasi pada satu atau beberapa gen yang berperan menjaga irama jantung agar tetap normal. Gen yang bermutasi tersebut diturunkan dari salah satu orang tua.\n\nSindrom Brugada lebih sering dialami oleh laki-laki dibandingkan perempuan. Sementara kemunculan gejalanya diduga dapat dipicu dan diperburuk oleh kondisi berikut:\n\nGangguan elektrolit\nEfek samping obat, seperti obat antiaritmia, obat hipertensi, dan obat antidepresan\nPenyalahgunaan kokain\nDemam","Sindrom Brugada"
"Bagaimana metode utama dalam pengobatan sindrom brugada","Metode utama pengobatan sindrom Brugada adalah implan alat kejut jantung otomatis (ICD) di bawah tulang selangka. Perangkat ini dihubungkan ke jantung melalui pembuluh darah untuk memonitor detak jantung. Jika detak jantung tidak normal, ICD akan mengirim sinyal kejut agar detak jantung kembali normal.","Sindrom Brugada"
"Apa komplikasi yang dapat ditimbulkan dari Hipertrofi Ventrikel Kiri?","Hipertrofi ventrikel kiri dapat mengubah struktur dan kerja jantung. Kondisi ini juga dapat menyebabkan jantung melemah, mengeras, dan menurunkan fungsi jantung dalam memompa darah. Kondisi ini dinamakan gagal jantung.\n\nDi samping menyebabkan gagal jantung, hipertrofi ventrikel kiri dapat menyebabkan beberapa komplikasi lain di bawah ini:\n\nPenyakit jantung koroner\nGangguan irama jantung (aritmia), misalnya atrial fibrilasi\nStroke\nHenti jantung mendadak","Hipertrofi Ventrikel Kiri"
"Bagaimana pencegahan penyakit hipertrofi ventrikel kiri?","Salah satu cara yang bisa dilakukan untuk mencegah hipertrofi ventrikel kiri adalah menjaga agar tekanan darah selalu berada pada batas normal. Berikut ini adalah beberapa upaya yang dapat dilakukan untuk mengontrol tekanan darah, sekaligus mencegah terjadinya hipertensi:\n\nMelakukan pemeriksaan berkala terhadap tekanan darah\nSelalu menjaga berat badan ideal\nBerolahraga secara rutin, idealnya 30 menit setiap hari\nMenerapkan pola makan sehat, seperti banyak makan buah dan sayur, serta menghindari makanan tinggi lemak dan garam\nMenghindari konsumsi minuman beralkohol secara berlebihan, karena dapat meningkatkan tekanan darah dan asupan kalori\nBerhenti merokok, karena merokok dapat menaikkan tekanan darah dan meningkatkan risiko hipertensi\nMengelola stres dengan baik","Hipertrofi Ventrikel Kiri"
"Apa kelainan yang dialami penderita atrial fibrilasi?","Fibrilasi atrium atau atrial fibrilasi (AF) adalah gangguan irama jantung yang ditandai dengan denyut jantung tidak beraturan dan cepat. Penderita atrial fibrilasi dapat merasakan gejala lemas, jantung berdebar, dan sesak napas.\n\nDenyut jantung yang normal berkisar antara 60–100 kali per menit dengan irama yang teratur. Pada penderita atrial fibrilasi, irama jantung menjadi tidak teratur dan bisa lebih dari 100 kali per menit.","Atrial Fibrilasi"
"Apa penyebab seseorang menderita atrial fibrilasi?","Fibrilasi atrium (AF) terjadi akibat adanya gangguan hantaran sinyal listrik di otot jantung. Akibatnya, denyut jantung menjadi tidak normal sehingga tidak memompa darah dengan optimal ke seluruh tubuh.\n\nGangguan hantran listrik ini diduga disebabkan oleh beberapa faktor berikut:\n\nKonsumsi minuman berkafein atau beralkohol\nKonsumsi obat-obatan batuk pilek\nKebiasaan merokok\nTekanan darah tinggi\nPenyakit jantung koroner\nPenyakit jantung bawaan\nKelainan katup jantung\nSerangan jantung\nHipertiroidisme\nInfeksi virus\nSleep apnea\nGangguan metabolik\nPenyakit paru-paru\n\nSelain beberapa faktor di atas, terdapat kondisi lain yang dapat meningkatkan risiko seseorang terserang AF, yaitu:\n\nBerusia lanjut\nMenderita obesitas atau berat badan berlebih\nMemiliki keluarga yang juga mengalami atrial fibrilasi","Atrial Fibrilasi"
"Apa gejala yang dialami penderita angina pectoris?","Angina pectoris ditandai dengan nyeri dada sebelah kiri yang terasa seperti tertindih, terbakar, tertusuk atau terasa sesak. Rasa sakit ini dapat menjalar ke lengan, bahu, punggung, leher, dan rahang.\n\nGejala lain yang dapat menyertai nyeri dada tersebut antara lain:\n\nKeringat berlebihan meski cuaca tidak panas\nMual\nLelah\nPusing\nSesak napas","Angina Pectoris"
"Jenis obat apa yang digunakan untuk meredakan gejala angina pectoris?","Beberapa jenis obat yang dapat diberikan oleh dokter untuk meredakan gejala angina adalah:\n\nObat pengencer darah, seperti aspirin, clopidogrel, atau ticagrelor\nObat pelebar pembuluh darah golongan nitrat, seperti nitrogliserin dan isosorbide dinitrate, untuk melebarkan dan merelaksasi pembuluh darah, sehingga aliran darah ke jantung lebih baik\nObat penghambat beta, seperti atenolol,bisoprolol, atau carvedilol, untuk memperlambat denyut jantung dan membuat pembuluh darah lebih rileks sehingga mengurangi beban kerja jantung\nObat untuk mengontrol penyakit diabetes, kolesterol, dan hipertensi yang merupakan faktor risiko dari penyakit jantung koroner\nObat antiangina, seperti trimetazidine atau ranolazine, untuk mengurangi dan mencegah kejadian nyeri dada","Angina Pectoris"
"Apa penyebab penyakit aterosklerosis?","Penyebab pasti aterosklerosis belum diketahui, tetapi penyakit ini dimulai ketika terjadi kerusakan atau cedera di lapisan dalam arteri. Kerusakan tersebut dapat disebabkan oleh:\n\nKolesterol tinggi\nTekanan darah tinggi\nDiabetes\nPeradangan akibat penyakit tertentu, seperti lupus\nObesitas\nKebiasaan merokok","Aterosklerosis"
"Bagaimana pencegahan penyakit aterosklerosis?","Aterosklerosis dapat dicegah dengan menerapkan pola hidup sehat. Cara yang bisa dilakukan antara lain:\n\nMelakukan pola makan sehat dengan gizi seimbang yang kaya serat dan karbohidrat kompleks, serta rendah kolesterol\nMenghindari atau membatasi konsumsi minuman beralkohol\nBerolahraga selama 30 menit per hari, setidaknya 5 hari dalam seminggu\nBerhenti merokok\nMenjaga berat badan dalam rentang ideal\nMengelola stress dengan baik, misalnya dengan relaksasi (mengendurkan otot-otot yang tegang) atau meditasi\nBeristirahat dan tidur yang cukup","Aterosklerosis"
"Apa saja hal yang dapat meningkatkan risiko penyakit Arteriosklerosis?","Selain itu, ada beberapa kondisi yang dapat meningkatkan risiko terjadinya kerusakan pembuluh darah arteri, yaitu:\n\nKolesterol tinggi\nTrigliserida tinggi\nTekanan darah tinggi\nBerat badan berlebih\nDiabetes\nPeradangan akibat arthritis, lupus, atau infeksi\nKebiasaan merokok\nKurang olahraga\nPola makan yang tidak sehat\nRiwayat penyakit jantung di keluarga","Arteriosklerosis"
"Apa saja gejala penyakit arteriosklerosis?","Sebagian besar kasus arteriosklerosis tidak menimbulkan gejala sampai terjadi penyumbatan di pembuluh darah arteri. Gejala yang muncul tergantung pada lokasi pembuluh arteri yang tersumbat.\n\nBerdasarkan lokasi pembuluh darah arteri yang mengalami penyumbatan, gejala-gejala yang dapat muncul adalah:\n\nPenyumbatan di arteri yang menuju otak, yang dapat menimbulkan gejala berupa mati rasa di tungkai dan lengan, sulit berbicara, gangguan penglihatan, dan wajah terkulai\nPenyumbatan di arteri yang menuju jantung, yang bisa menimbulkan keluhan berupa nyeri dada, sesak napas, dan gangguan irama jantung\nPenyumbatan di arteri yang menuju tungkai, yang dapat menimbulkan gejala berupa nyeri di kaki ketika berjalan dan penurunan tekanan darah di lengan yang terkena\nPenyumbatan di arteri yang menuju ginjal, yang dapat menimbulkan keluhan berupa tekanan darah tinggi hingga gagal ginjal","Arteriosklerosis"
"Apa gejala umum penyakit jantung bawaan pada bayi?","Sedangkan pada bayi, gejala penyakit jantung bawaan yang umum terjadi adalah:\n\nWarna kebiruan atau kehitaman di bibir, kulit, atau jari-jari kuku (sianosis)\nKelelahan dan kesulitan bernapas, terutama ketika disusui\nBerat badan rendah\nPertumbuhan terhambat\nPembengkakan di tungkai, perut, atau area sekitar mata\nInfeksi paru-paru yang berulang\nSering mengeluarkan keringat dingin","Penyakit Jantung Bawaan"
"Apa saja kondisi yang dapat meningkatkan faktor risiko penyakit jantung bawaan pada bayi?","Sejumlah kondisi pada ibu hamil bisa meningkatkan risiko terjadinya penyakit jantung bawaan pada bayi, yaitu:\n\nMemiliki keluarga dengan riwayat penyakit jantung bawaan atau kelainan genetik, seperti sindrom Down atau sindrom Edward\nMenderita diabetes tipe 1 atau 2 yang tidak terkontrol\nMenderita penyakit autoimun, seperti sindrom Sjögren\nMengonsumsi alkohol secara berlebihan atau merokok saat hamil\nMenderita infeksi virus, seperti rubella, pada trimester pertama kehamilan\nMengonsumsi obat-obatan tertentu selama hamil, seperti obat antikejang, obat antijerawat golongan retinoid, dan obat golongan statin, tanpa resep dokter\nTerpapar pelarut organik yang umumnya ditemukan dalam produk cat tembok, cat kuku, atau lem\nMenderita penyakit tertentu yang dapat diturunkan dari orang tua ke anaknya, misalnya fenilketonuria","Penyakit Jantung Bawaan"
"Apa saja komplikasi yang diakibatkan oleh penyakit jantung bawaan?","Penyakit jantung bawaan dapat menyebabkan sejumlah komplikasi, seperti:\n\nEndokarditis\nGangguan irama jantung atau aritmia\nGagal jantung\nHipertensi pulmonal\nInfeksi saluran pernapasan, seperti pneumonia\nPenggumpalan darah dan stroke\nGangguan pertumbuhan (stunting)\nGangguan belajar","Penyakit Jantung Bawaan"
"Apa saja faktor yang dapat meningkatkan risiko terkena penyakit koarktasio aorta?","Beberapa faktor yang dapat meningkatkan risiko bayi menderita koarktasio aorta adalah:\n\nMemilliki penyakit jantung bawaan lain, seperti patent ductus arteriosus, arterial septal defect, defek septum ventrikel, atau penyakit katup jantung\nMenderita kelainan genetik, seperti sindrom Turner \nSelain itu, risiko bayi mengalami penyakit jantung bawaan juga meningkat jika ibu hamil merokok, mengonsumsi obat, seperti obat antikejang, menderita lupus, atau menderita diabetes yang tidak terkontrol.","Koarktasio Aorta"
"Apa saja gejala yang menandakan penyakit koarktasio aorta?","Gejala koarktasio aorta bervariasi, sesuai dengan tingkat keparahan penyempitan aorta yang terjadi. Pada koarktasio aorta yang ringan, gejala bisa baru muncul setelah anak menjadi remaja atau dewasa. Beberapa gejala yang bisa muncul adalah: \n\nHipertensi \nSakit kepala\nOtot lemah\nNyeri dada\nSesak napas\nKram tungkai\nKaki terasa dingin\n\nSedangkan pada kasus koarktasio aorta yang parah, gejala dapat muncul sesaat setelah bayi lahir atau beberapa bulan setelah kelahiran. Gejala koarktasio aorta pada bayi berupa: \n\nKesulitan bernapas\nKesulitan untuk menyusu\nKulit terlihat pucat \nSangat berkeringat\nBayi tampak gelisah","Koarktasio Aorta"
"Bagaimana prosedur yang dilakukan oleh dokter untuk pengobatan tamponade jantung?","Untuk mengurangi tekanan di jantung, ada beberapa prosedur yang dapat dilakukan dokter, yaitu:\n\nPericardiocentesis (punksi perikardium)\nPericardiocentesis adalah prosedur yang dilakukan untuk mengeluarkan cairan dari ruang perikardium dengan menggunakan jarum.\nPericardiectomy\nPericardiectomy dilakukan dengan memotong dan menghilangkan sebagian perikardium yang melapisi jantung. Dengan begitu, tekanan di jantung akan berkurang.\nPericardiodesis\nPericardiodesis adalah pemberian obat-obatan langsung ke dalam rongga perikardium untuk menempelkan perikardium dengan otot jantung. Prosedur ini biasa dilakukan bila penumpukan cairan di ruang perikardium terjadi secara berulang.\nTorakotomi\nTorakotomi adalah prosedur bedah terbuka yang dilakukan dokter untuk mengeluarkan gumpalan darah pada tamponade jantung yang terjadi akibat cedera.","Tamponade Jantung"
"Apa saja komplikasi yang mungkin terjadi pada penyakit tamponade jantung?","Komplikasi yang mungkin terjadi akibat tamponade jantung antara lain:\n\nSyok\nPerdarahan\nEdema paru\nGagal jantung\nKematian","Tamponade Jantung"
"Bagaimana pencegahan diseksi aorta?","Diseksi aorta tidak dapat dicegah sepenuhnya, tetapi Anda dapat menurunkan risiko terserang penyakit ini dengan cara:\n\nMengontrol tekanan darah secara rutin\nMempertahankan berat badan ideal\nTidak merokok\nMenjaga pola makan dan menghindari makanan tinggi kolesterol\nMemakai sabuk pengaman ketika mengendarai mobil, untuk menghindari benturan ke dada\nBerkonsultasi dengan dokter mengenai kondisi kesehatan Anda dan keluarga, terutama bila ada riwayat penyakit atau kelainan pembuluh darah aorta","Diseksi Aorta"
"Apa itu penyakit diseksi aorta?","Diseksi aorta adalah kondisi ketika lapisan dalam pembuluh darah aorta robek dan terpisah dari lapisan tengah dinding aorta. Terkadang, gejala diseksi aorta mirip dengan gejala penyakit lain, seperti penyakit jantung dan stroke. Jika tidak segera ditangani, kondisi ini dapat berakibat fatal.","Diseksi Aorta"
"Apa saja penyebab efusi perikardium?","Penyebab efusi perikardium sangat bervariasi, antara lain:\n\nPeradangan pada perikardium (perikarditis), baik akibat penyakit maupun cedera\nKanker perikardium, kanker jantung, atau kanker yang menyebar dari paru-paru, kelenjar getah bening, atau payudara\nInfeksi yang disebabkan oleh bakteri, virus, jamur, atau parasit\nPenyakit autoimun, seperti rheumatoid arthritis, lupus, atau sindrom Sjögren\nHipotiroidisme\nGagal ginjal\nSerangan jantung\nEfek samping prosedur medis, seperti radioterapi, kemoterapi, atau operasi jantung\nEfek samping obat-obatan tertentu, seperti obat tekanan darah tinggi, obat tuberkulosis, dan obat antikejang","Efusi Perikardium"
"Apa saja obat untuk menyembuhkan efusi perikardium?","Obat-obatan yang diberikan dapat berupa:\n\nAspirin\nObat antiinflamasi nonsteroid (OAINS), misalnya ibuprofen\nKortikosteroid, seperti prednisone\nColchicine","Efusi Perikardium"
"Apa saja komplikasi yang dapat ditimbulkan penyakit jantung koroner?","Penyakit jantung koroner jika tidak ditangani dengan baik dapat berujung ke serangan jantung hingga kematian. Selain itu, berkurangnya suplai darah menuju jantung dapat menyebabkan komplikasi lain, seperti:\n\nHipertensi pulmonal, yaitu kondisi ketika tekanan darah di paru-paru meningkat dan menyebabkan pertukaran oksigen tidak optimal\nKardiomiopati, yaitu kondisi ketika otot jantung mengalami kerusakan sehingga terlalu lemah untuk memompa darah\nGagal jantung, akibat kondisi jantung yang tidak cukup kuat untuk memompa darah sehingga suplai oksigen ke tubuh tidak optimal\nGangguan irama jantung (aritmia), ketika suplai darah ke jantung berkurang atau ada kerusakan di jaringan jantung yang memengaruhi impuls listrik jantung","Penyakit Jantung Koroner"
"Makanan apa yang tepat untuk mencegah penyakit jantung koroner?","Makanan tinggi serat, seperti sayur dan buah. Selain itu, tingkatkan kadar kolesterol baik atau HDL dengan memperbanyak konsumsi makanan tinggi lemak tak jenuh. Jenis makanan ini antara lain minyak ikan, minyak zaitun, minyak biji bunga matahari, minyak sayur, serta alpukat dan kacang-kacangan.","Penyakit Jantung Koroner"
"Bagaimana cara pencegahan penyakit takikardia supraventrikular?","Takikardia supraventrikular dapat dicegah dengan menerapkan pola hidup sehat, seperti:\n\nMenghindari konsumsi minuman beralkohol dan berkafein secara berlebihan\nBerhenti merokok\nMenghindari penggunaan NAPZA, terutama kokain dan amphetamine\nBeristirahat dan tidur yang cukup\nMengelola stres dengan baik\nSelalu mematuhi dosis dan aturan pakai saat mengonsumsi obat apa pun\nMengonsumsi makanan sehat bergizi lengkap dan seimbang\nMembatasi asupan garam dan lemak jenuh\nBerolahraga rutin, minimal 30 menit setiap hari","Takikardia Supraventrikular"
"Apa gejala penyakit takikardia supraventrikular pada bayi?","Bayi dengan takikardia supraventrikular dapat menunjukkan tanda-tanda berikut:\n\nTidak bisa atau sulit menyusu\nNapas cepat\nKulit pucat\nRewel\nMudah berkeringat","Takikardia Supraventrikular"
"Bagaimana cara mencegah penyakit jantung rematik?","Beberapa upaya yang dapat dilakukan untuk mencegah penyakit jantung rematik adalah:\n\nMencuci tangan dengan sabun dan air mengalir, terutama sebelum mengolah makanan atau sebelum makan\nMenghindari penyebaran bakteri dengan tidak berbagi peralatan makan, handuk, dan sarung bantal\nMenutup mulut dan hidung saat bersin atau batuk\nMengonsumsi makanan bergizi lengkap seimbang\nMencukupi waktu tidur malam dan istirahat\nMenjalani pemeriksaan jantung dan mengonsumsi antibiotik bila memiliki riwayat demam rematik","Penyakit Jantung Rematik"
"Apa saja faktor yang dapat meningkatkan risiko seseorang menderita penyakit jantung rematik?","Ada beberapa faktor yang diduga dapat meningkatkan risiko seseorang menderita penyakit jantung rematik, yaitu:\n\nTidak mendapatkan pengobatan infeksi Streptococcus secara tuntas, atau mengalami infeksi berulang\nTinggal di lingkungan yang padat dan kumuh\nSulit mendapatkan antibiotik\nJarang mencuci tangan, terutama setelah bersin, batuk, atau sebelum makan","Penyakit Jantung Rematik"
"Apa kelainan jantung yang diderita seseorang dengan torsade de pointes?","Pada torsade de pointes, bilik jantung berdetak lebih cepat dan tidak selaras dengan denyut pada atrium. Perlu diketahui, denyut jantung manusia pada kondisi normal adalah 60−100 per menit. Sementara pada torsade de pointes, bilik jantung dapat berdenyut hingga 150–300 per menit.","Torsade de Pointes"
"Apa saja komplikasi yang dapat ditimbulkan oleh penyakit torsade de pointes?","Torsade de pointes merupakan kondisi gawat darurat. Jika tidak segera ditangani, torsade de pointes dapat menimbulkan beberapa komplikasi yang serius, yaitu:\n\nTakikardia ventrikel\nFibrilasi ventrikel\nHenti jantung mendadak\nKematian","Torsade de Pointes"
"Apa saja faktor risiko penyakit atrial flutter?","Atrial flutter lebih sering terjadi pada orang dengan faktor-faktor berikut:\n\nTekanan darah tinggi\nBerusia 50 tahun atau lebih\nMemiliki berat badan berlebih atau obesitas\nMerokok\nMenderita stres berat atau gangguan cemas dalam jangka panjang","Atrial Flutter"
"Apa saja gejala penyakit atrial flutter?","Gejala atrial flutter dapat bervariasi dan berlangsung dalam hitungan jam hingga hari. Beberapa gejalanya adalah:\n\nJantung berdebar\nPusing atau terasa akan pingsan\nSesak napas\nNyeri dada\nLemas\nLinglung","Atrial Flutter"
"Apa saja gejala pada penyakit atrioventricular block derajat dua?","Penderita AV block derajat ini dapat mengalami beberapa gejala berikut:\n\nDenyut jantung lambat atau terasa seperti tidak berdetak sesaat\nMudah lelah\nKepala terasa ringan seperti akan pingsan, atau kadang sampai pingsan\nNyeri dada\nMual\nNapas cepat dan pendek","Atrioventricular Block"
"Bagaimana pencegahan penyakit atrioventricular block?","Atrioventricular block dapat dicegah dengan menjaga kesehatan jantung. Ada berbagai upaya yang dapat dilakukan untuk menjaga kesehatan jantung, seperti:\n\nTidak merokok dan menghindari paparan asap rokok\nMengonsumsi makanan bergizi dan bervariasi setiap harinya\nMenjaga berat badan agar tetap ideal\nBerolahraga secara rutin, setidaknya 5 hari dalam seminggu selama 30 menit\nMengelola stres dengan baik\nTidur setidaknya 7–9 jam per hari\nBerobat atau berkonsultasi dengan dokter secara rutin jika menderita penyakit lain atau memiliki faktor risiko atrioventrikular blok","Atrioventricular Block"
"Apa hal yang dapat menyebabkan penyakit jantung ringan?","Penyebab serangan jantung ringan adalah berbagai penyakit atau kondisi yang menghambat aliran darah dari pembuluh darah arteri koroner menuju otot-otot jantung. Kondisi atau penyakit tersebut meliputi:\n\nAterosklerosis, yaitu penumpukan plak atau kolesterol pada dinding arteri koroner \nEmboli koroner, yakni penyumbatan pada pembuluh darah arteri jantung akibat gumpalan darah\nVasospasme, yaitu kontraksi pada pembuluh darah arteri koroner\nMiokarditis, yakni peradangan yang terjadi pada otot jantung\nCedera pada otot jantung, misalnya akibat kecelakaan\nKeracunan karbon monoksida","Serangan Jantung Ringan"
"Bagaimana prosedur operasi yang dilakukan pada penderita serangan jantung ringan?","Operasi bypass jantung merupakan prosedur untuk membuat pembuluh darah baru yang diambil dari pembuluh darah lain di tungkai atau dada sebagai jalur alternatif bagi aliran darah yang tersumbat. Tindakan bedah ini dapat dilakukan jika ada banyak pembuluh darah arteri jantung yang mengalami penyempitan. ","Serangan Jantung Ringan"
"Bagaimana contoh stres emosional yang dialami oleh penderita broken heart syndrome?","Berduka akibat kehilangan orang terdekat\nMengalami perceraian\nTerjerat hutang, misalnya karena kecanduan judi online\nDidiagnosis terkena penyakit serius\nMenjadi korban tindakan kriminal\nMengalami bullying  ","Broken Heart Syndrome"
"Pada situasi apa penderita broken heart syndrome perlu dibawa ke IGD?","Segera cari pertolongan ke IGD bila nyeri dada tidak membaik setelah 5 menit atau setelah beristirahat dan minum obat. Melalui pemeriksaan, dokter akan memastikan apakah kondisi pasien disebabkan oleh broken heart syndrome atau serangan jantung sehingga penanganan yang diberikan pun tepat.","Broken Heart Syndrome"
